"Part Number","Long Description (used in Web & AMO)","Main Description (used in Web & AMO)","Manufacturer part code","Supplier Name","Supplier Number","RRP","Website Price","eBay DMD price","eBay CareCo price","Amazon price","Brochure price","DMW web price","Max Speed (mph)","Max Range (miles)","Max User Weight (stone)","Colour","Number of wheels","Tyres (Solid/Pnuematicc)","Heaviest Part (kg)","Battery Size Ah","Ground clearance (inches)","Turning radius (inches)","Width (inches)","Length (inches)","Folded Length (inches)","Folded Width (inches)","Folded Height (inches)","Tiller Type","Suspension","Swivel Seat","Light","On/Off-board charging","Portable","Web Weight (kg)","Shipping Weight","Shipping Size (S,L)","Container Cost Price","One Off Price","Engineered Delivery","Vatable",,,,"Product Category","Website Image Link","Website Video Link"
,"Pride Mega Motion Elite 8","The new Pride Mega Motion Elite 8 Lightweight Mobility Scooter brings you all the flexibility and performance you need in a lightweight mobility scooter, yet it is available at 

an affordable price. The Mega Motion Elite 8 exclusively available from CareCo.

Developed from the original best selling Pride ""Go Go"" range of portable, lightweight mobility scooters, the lightweight Mega Motion Elite 8 is very easy to disassemble, so much 

so that you can separate the frame with only one hand.

With the heaviest part when dismantled only weighing in at 32 lbs, we feel the Pride ES 8 certainly qualifies as a ""lightweight"" mobility scooter. However, don't be fooled into 

thinking it is lightweight in any other department. With a maximum rider capacity of over 19 stones, the Go Go ES 8 is as strong as it is portable.

Designed for exceptional durability, the new Pride Mega Motion Elite 8 provides reliability at a very affordable cost, and we expect it to become one of our best sellers. Quality 

construction, and one of the best known names in UK mobility offer peace of mind, backed up by a limited 2 year warranty.

All scooters from CareCo are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, and 3 months free scooter insurance all for the published price.","S84UKSB1001","Pride Mobility Products Ltd",," £1,350.00",349," £335.00"," £335.00"," £349.00"," £399.00",349,4,9.68,"19st 9lbs","Yellow, Green",4,"Solid",14.5,12,2,42.75,19.5,40.25,,,,"Standard","No","Yes","No","On","Yes",35,,"L"," £250.00",,"Y","N",,,,"Travel Scooter",,
,"Sterling Little Star","The Sterling Little Star from CareCo is a compact 4 wheel Lightweight Mobility Scooter, the little star is a compact 4 wheel scooter that's very easy to manoeuvre around the home 

or shopping centre. 
The lightweight and compact size, and the ease with which it comes to pieces make it very portable indeed! Simply take off the seat, remove the lightweight battery pack, fold down 

the control tiller and thats it! Perfect to pop it into your car boot for a day trip or holiday.

Simple to operate, with finger control levers, the Sterling Little Star can travel up to a pavement legal speed of 4mph, and achieve a distance of up to 8 miles between charges.

With a very compact turning circle of 110cm (43""), the Sterling Little Star is ideal for close manoeuvring, making it especially suitable for indoor use, yet extremely agile when 

used outdoors.The LIttle Star is compact, yet powerful battery box can be easily removed and weighs just 7.3kg (16lbs).

Despite it's simplicity, the Sterling Little Star comes with a complement of practical features such as an ergonomically designed hand wheel for tiller adjustment, a padded seat 

and flip back armrests to make access easy. It can also be quickly folded down for storage, making the Sterling Little Star a highly practical package at a refreshingly affordable 

price.

All our scooters are supplied with batteries and a charger, and includes free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, 

and 3 months FREE insurance and breakdown cover, all for the published price.","SPSTLITTLESTAR4","Sunrise Medical Ltd",," £999.00",449," £449.00"," £449.00"," £449.00"," £449.00",449,4,7.5,"17st 11lbs","Black",4,"Solid",20,21,1.5,43,20,37.8,,,,"Standard","No","No","No","Off","Yes",35,,"L",," £325.00","Y","N",,,,"Travel Scooter",,
,"CareCo Eclipse","The CareCo Eclipse Lightweight Travel Mobility Scooter has been designed with practicality and simplicity at its core. The aim was to produce a lightweight, yet robust, highly 

manoeuvrable mobility scooter, that was easy to store or take apart for transportation. This has been certainly been achieved with the CareCo Eclipse.
The narrow design allows the Kite 4 to manoeuvre extremely well in tight spaces, which makes it ideal for indoor use, yet still retain it's stability when use out of doors.

The CareCo Eclipse can be dismantled easily for transportation purpose. Where it differs from most lightweight mobility scooters is it's ability to be stood up vertically for ease 

of storage.

The armrests have width and angle adjustments, and the seat has a swivel action to enable easier access. The CareCo Eclipse also comes with a removable metal front basket as 

standard. It also has a very respectable range of up to 10 miles between charges.

Safety is paramount with anti tip wheels front and back, to aid stability, and an integral braking system for extra peace of mind. Black puncture proof tyres are also included for 

this great price. It is also available in a choice of two vibrant colours, blue and red.

All our scooters are supplied with batteries and a charger, and includes free courier delivery to your door, 12 months home engineer call out, and 3 months FREE insurance and 

breakdown cover. All new scooters supplied by Drive Medical now come with an extended 2 year parts warranty.","ECLIPSE","CareCo Ltd",," £1,895.00",415," £415.00"," £415.00"," £415.00"," £499.00",415,4,10,"18st","Red, Blue",4,"Solid",16.25,12,2.5,53,19,38,,,,"Standard","No","Yes","No","Off","Yes",44,,"L"," £267.21",,"Y","N",,,,"Travel Scooter",,
,"Pride Go Go ES8","The new Pride Mobility Go-Go ES 8 Lightweight Mobility Scooter brings you all the flexibility and performance you need in a lightweight mobility scooter, yet it is available at an 

affordable price.

Developed from the original Pride ""Go Go"" range of portable, lightweight mobility scooters, the lightweight Go-Go ES 8 is very easy to disassemble, separating into six seperate 

parts.

With the heaviest part when dismantled only weighing in at 32 lbs, we feel the Pride ES 8 certainly qualifies as a ""lightweight"" mobility scooter. However, don't be fooled into 

thinking it is lightweight in any other department. With a maximum rider capacity of over 19 stones, the Go Go ES 8 is as strong as it is portable.

Designed for exceptional durability, the new Pride Mobility Go-Go ES 8 provides reliability at a very affordable cost, and we expect it to become one of our best sellers. Quality 

construction, and one of the best known names in UK mobility offer peace of mind, backed up by a limited 2 year warranty.

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, 

and 3 months free scooter insurance all for the price you see!","S84UKSB1001","Pride Mobility Products Ltd",," £1,350.00",420," £420.00"," £420.00"," £420.00"," £420.00",420,4,9.68,"19st 9lbs","Red",4,"Solid",14.5,12,2,42.75,19.5,40.25,,,,"Standard","No","Yes","No","On","Yes",35,,"L",," £325.00","Y","N",,,,"Travel Scooter",,
,"CareCo I-Go Traveller 12amp","The CareCo i-Go is one of our most popular Travel Mobility Scooters, it's compact design allows it to easily manoeuver in tight spaces, while providing stable outdoor performance. The CareCo i-Go is exclusive to CareCo so you wont find it anywhere else. Why not try the perfect affordable scooter for getting around this summer!

The CareCo i-Go has a maximum user weight of 21.5 stone, to make it easier to get on and off your i-Go the seat swivels and the arm rests fold up to allow easy access.

The CareCo i-Go 12amp version is nimble and has a top speed of 4mph, and is capable of travelling 10 miles on a full charge which should be more than sufficient to get you round the shops and back easily. If you want to get out further on your CareCo i-Go then you can opt for the 18amp version which gives you a maximum travel distance of 13 miles, see our 18amp verison in the travel scooter section.

Take the guesswork out of travelling with the i-Go, its simple, one hand feather touch dissasembly makes the i-Go so easy to transport, once dissasembled it will fit into most car boots with ease. The CareCo i-Go Travel Scooter comes in a choice of 2 vibrant colours, Red and Blue.

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, and 3 months free scooter insurance all for the price you see!","I-GO 12AMP","CareCo Ltd",," £1,895.00",435," £435.00"," £435.00"," £435.00"," £435.00",435,4,10,"21st 5lbs","Red, Blue",4,"Solid",15,12,2,37,22.5,42,,,,"Delta","No","Yes","No","Off","Yes",46,,"L"," £307.20",,"Y","N",,,,"Travel Scooter",,
,"Drive Kite 3","The Drive Medical Kite 3 Lightweight Mobility Scooter has been designed with practicality and simplicity as it basis. The idea was to produce a lightweight, yet robust highly manoeuvrable 3 wheel mobility scooter, that was easy to store or take apart for transportation. This has been certainly been achieved!

The three wheel design allows the Kite 3 to manoeuvre extremely well in tight spaces, which makes it ideal for indoor use, yet still retain it's stability when use out of doors.

Like the 4 wheeled version, the Kite 3 be dismantled easily for transportation purpose. Where it differs from most lightweight mobility scooters is it's ability to be stood up vertically for ease of storage. ( This is illustrated in the photo on the left, but shown as the four wheel version )

The armrests have width and angle adjustments, and the seat has a swivel action to enable easier access. The Kite 3 also comes with a removable metal front basket as standard.

Safety is paramount with anti tip wheels front and back, to aid stability, and an integral braking system for extra peace of mind. Black puncture proof tyres are also included. It is also available in a four wheeled model, and with a choice of two vibrant colours Blue and red.

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, and 3 months free scooter insurance all for the price you see!","MS023","Drive Medical Ltd",," £1,899.00",439," £439.00"," £439.00"," £439.00"," £439.00",439,4,10,"18st","Blue, Champagne, Electric Blue, Green, Orange, Pink, Purple, Red, Yellow",3,"Solid",16.25,12,2.5,36,19,38,,,,"Standard","No","Yes","No","Off","Yes",40,,"L",," £355.00","Y","N",,,,"Travel Scooter",,
,"Pride Go Go Elite Traveller 3","The Pride Go Go Elite Traveller 3 mobility scooter offers excellent manoeuvrability, comfort and style. It allows you to 

negotiate narrow hallways and tight spaces, but you will also feel stable when using the scooter outside. You can change the 

colour of the panels on this scooter with three different colours coming as standard.

A swivel seat and armrests that fold up means the Pride Go Go Elite Traveller 3 is easy to get on and off, and the adjustable 

steering tiller enables you to find the most comfortable driving position to suit. If you wish to leave your scooter in the car, 

simply take the battery box to the charger.

The Pride Go Go Elite Traveller 3 has wireless controls, which makes taking it apart for travel, and putting it back together 

again a simple task. An impressive range of up to 10 miles is achievable with the standard batteries supplied. If this is not 

enough for you, why not UPGRADE to the heavy duty battery and increase the range up to 15 miles!

Quality construction, and one of the best known names in UK mobility offer peace of mind, backed up by a limited 2 year warranty.

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and 

labour warranty including home engineer call out, and 3 months free scooter insurance all for the price you see!","SCUK40EMULR12","Pride Mobility Products Ltd",," £1,525.00",440," £440.00"," £440.00"," £440.00"," £440.00",440,4,11.5,"19st 9lbs","Red, Blue",3,"Solid",13.4,12,2,33,19.5,37.25,,,,"Standard","No","Yes","No","Off","Yes",35,,"L",," £355.00","Y","N",,,,"Travel Scooter",,
,"Drive Kite 4","The Drive Medical Kite 4 Lightweight Mobility Scooter has been designed with practicality and simplicity as it basis. The aim was to produce a lightweight, yet robust, highly manoeuvrable mobility scooter, that was easy to store or take apart for transportation. This has been certainly been achieved!

The narrow design allows the Kite 4 to manoeuvre extremely well in tight spaces, which makes it ideal for indoor use, yet still retain it's stability when use out of doors.

Like it's 3 wheeled version, the Kite 4 can be dismantled easily for transportation purpose. Where it differs from most lightweight mobility scooters is it's ability to be stood up vertically for ease of storage. ( This is illustrated in the photo on the left )

The armrests have width and angle adjustments, and the seat has a swivel action to enable easier access. The Drive Medical Kite 4 also comes with a removable metal front basket as standard. It also has a very respectable range of up to 10 miles between charges.

Safety is paramount with anti tip wheels front and back, to aid stability, and an integral braking system for extra peace of mind. Black puncture proof tyres are also included. It is also available in a three wheeled model, and with a choice of two vibrant colours, Peugot blue and Vivid red.

All our scooters are supplied with batteries and a charger, and includes free courier delivery to your door, 12 months home engineer call out, and 3 months FREE insurance and breakdown cover. All new scooters supplied by Drive Medical now come with an extended 2 year parts warranty.","MS024","Drive Medical Ltd",," £1,999.00",448," £448.00"," £448.00"," £448.00"," £448.00",448,4,10,"18st","Blue, Champagne, Electric Blue, Green, Orange, Pink, Purple, Red, Yellow",4,"Solid",16.25,12,2.5,53,19,38,,,,"Standard","No","Yes","No","Off","Yes",45,,"L",," £375.00","Y","N",,,,"Travel Scooter",,
,"Pride Go Go Elite Traveller 4","The popular Pride Go Go Elite Traveller 4 is brought to you based on the success of the tried and 

tested Pride Go Go range of travel mobility scooters, the Pride Go Go Elite Traveller 4 

lightweight mobility scooter offers excellent manoeuvrability, comfort and style at an affordable 

price.

It's narrow design, only 19"" wide, allows you to negotiate narrow hallways and tight spaces, but 

you will also feel stable when using the scooter outside. You can change the colour of the panels 

on this scooter with three different colours included.

A swivel seat and fold up armrests means the Pride Go Go Elite Traveller 4 is easy to get on and 

off, the adjustable steering tiller enables you to find the most comfortable driving position to 

suit you. You can leave your dissasembled scooter in the car, just simply take the battery box to 

the charger in your home or garage.

The Pride Go Go Elite Traveller 4 has wireless controls, which makes taking it apart for travel, 

and putting it back together again a simple task. The heaviest part once the scooter has been 

disassembled is only 34 lbs.

An impressive range of up to 10 miles is achievable with the standard batteries supplied. If this 

is not enough for you, why not UPGRADE to the heavy duty battery and increase the range up to 15 

miles! The Go Go Elite Traveller 4 can carry a maximum passenger user weight of up to 18 1/2 

stone.

This quality lightweight mobility scooter is also available in a three wheeled version.


All our scooters are supplied with batteries and a charger, and include free courier delivery to 

your door, 12 months parts and labour warranty including home engineer call out, and 3 months 

free scooter insurance all for the price you see!","SCUK40EMULR12","Pride Mobility Products Ltd",," £1,655.00",475," £475.00"," £475.00"," £475.00"," £475.00",475,4,12.3,"19st 9lbs","Red, Blue",4,"Solid",15.4,12,2,44.125,19.5,39.5,,,,"Standard","No","Yes","No","Off","Yes",35,,"L"," £330.00"," £375.00","Y","N",,,,"Travel Scooter",,
,"CareCo I-Go Traveller 18amp","The CareCo i-Go is one of our most popular Travel Mobility Scooters, it's compact design allows 

it to easily manoeuver in tight spaces, while providing stable outdoor performance. The CareCo 

i-Go is exclusive to CareCo so you wont find it anywhere else. Why not try the perfect affordable 

scooter for getting around this summer!

The CareCo i-Go has a maximum user weight of 21.5 stone, to make it easier to get on and off your 

i-Go the seat swivels and the arm rests fold up to allow easy access.

The CareCo i-Go 18amp version is nimble and has a top speed of 4mph, and is capable of travelling 

13 miles on a full charge which should be more than sufficient to get you round the shops and 

back easily. 

Take the guesswork out of travelling with the i-Go, its simple, one hand feather touch 

dissasembly makes the i-Go so easy to transport, once dissasembled it will fit into most car 

boots with ease. The CareCo i-Go Travel Scooter comes in a choice of 2 vibrant colours, Red and 

Blue.

All our scooters are supplied with batteries and a charger, and include free courier delivery to 

your door, 12 months parts and labour warranty including home engineer call out, and 3 months 

free scooter insurance all for the price you see!","I-GO 18AMP","CareCo Ltd",," £1,999.00",485," £485.00"," £485.00"," £485.00"," £485.00",485,4,13,"21st 5lbs","Red, Blue",4,"Solid",15,18,2,37,22.5,42,,,,"Delta","No","Yes","No","Off","Yes",46,,"L"," £317.50",,"Y","N",,,,"Travel Scooter",,
,"Shoprider Whisper","The Shoprider Whisper Lightweight mobility scooter is a great example of a travel scooter. It has 

been designed to be extremely manoeuvrable in tight spaces, being only 17"" wide and 41"" long, yet 

offers the extra stability having two wheels at the front.

Safety and peace of mind are in built with an automatic braking system, and the Whisper travel 

scooter also benefits from puncture proof tyres. Whilst truly being a lightweight transportable 

scooter,the heaviest part weighing only 24 1/2 lbs, the Whisper is a very robust example of a 

scooter in this class.

Having an impressive range between charges of up to 12 miles, a user of up to 18 stone can be 

transported in comfort with the Whisper scooter. The Shoprider Whisper also offers you the 

flexibility to charge the batteries either whilst they are connected to the scooter or you can 

remove the batteries for charging, allowing the rest of the scooter to stay in the car.

A comfortable, height adjustable folding seat , with adjustable folding rests, and a multi 

positional steering tiller allow the user to find the best position suitable for them. The 

Shoprider Whisper also has a removable metal basket at the front, anti-tip wheels to the rear, ground clearance of over 2 inches.

All our scooters are supplied with batteries and a charger, and include free courier delivery to 

your door, 12 months parts and labour warranty including home engineer call out, and 3 months 

free scooter insurance all for the price you see!","S787NA","Roma Medical Ltd",," £1,159.00",488," £488.00"," £488.00"," £488.00"," £488.00",488,4,12,"18st","Red, Blue",4,"Solid",18,12,2.5,42,17,37,,,,"Standard","No","Yes","No","Off","Yes",39,,"L",," £399.00","Y","N",,,,"Travel Scooter",,
,"Drive Mercury Prism 3","The Drive Mercury Prism 3 is a three wheeled, lightweight mobility scooter and is different 

from many of the travel scooters available on the market today. Firstly the huge choice of 

colours, this great little scooter can be ordered in blue, champagne, red, green, orange, 

mid-blue, purple, pink or yellow, no other scooters on the market offer such a wide variety of 

colours to choose from.

The Prism 3 travel scooter is available with many features you would expect to find on a 

scooter of this quality. Charging your Mercury Prism 3 is made very easy as the battery can be charged either on the scooter via the tiller mounted charging socket or off the scooter direct into the battery pack, handy if you want to leave you scooter ni the boot. Transporting the scooter is also very straight forward as it splits very easily and wirelessly into it Äôs 5 component parts, the heaviest part being only 19.1kg and batteries approved for air travel.

The Prism 3 and it Äôs three wheeled configuration allows the user extra leg room over it Äôs four wheeled counterpart as well as improved manoeuvrability and a tighter turning radius.

All our scooters are supplied with batteries and a charger, and include free courier delivery 

to your door, 12 months parts and labour warranty including home engineer call out, and 3 

months free scooter insurance all for the price you see!#","MS017","Drive Medical Ltd",," £1,195.00",499," £499.00"," £499.00"," £499.00"," £499.00",499,4,10,"18st","Blue, Champagne, Electric Blue, Green, Orange, Pink, Purple, Red, Yellow",3,"Solid",12,12,1.75,34,19,38,,,,"Standard","No","Yes","No","Off","Yes",42.3,,"L",," £410.00","Y","N",,,,"Travel Scooter",,
,"Pride Go Go Elite Traveller LX 12amp","CareCo introduces to you the new stylish Pride Elite Traveller LX 12 amp Lightweight 

Mobility Scooter. The new design offers a comfortable journey and exclusive style at an 

affordable price. The Pride Elite Traveller LX comes with some fabulous new additions such 

as built in suspension on the seating for a more comfortable ride. It also has new LED 

lighting at the front to ensure you can see and be seen. Also as standard, there is a soft 

touch delta tiller, making the controls easier to operate if the rider has problems with their 

grip or weaker hands.

Sleek styling complements the Pride Go-Go Elite Traveller LX, and a wealth of abundant 

features make it an exceptional travel mobility choice. The Pride Go-Go Elite Traveller LX 

Mobility Scooter comes with 2 sets of coloured panels red and blue as standard giving you 

the freedom to change te colour of your scooter whenever you want to.

The swivel seat and armrests that fold up means the Pride Go Go Elite Traveller LX is easy 

to get on and off, the adjustable steering tiller enables you to find the most comfortable 

driving position to suit you. If you wish to leave your scooter in the car you can simply 

remove the battery box and take it to the charger, the batteries can be charged on or off the 

scooter, whichever you find easier.

The Pride Go Go Elite Traveller LX has wireless controls, which makes taking it apart for 

travel, and putting it back together again a simple task. An impressive range of up to 10 

miles is achievable with the standard 12 amp batteries supplied. If this is not enough for 

you, why not look at the 17amp version of the Elite Traveller LX to give you an increased 

range up to 15 miles!

All our scooters are supplied with batteries and a charger, and include free courier delivery 

to your door, 12 months parts and labour warranty including home engineer call out, and 3 

months free scooter insurance all for the price you see!","SC44LXUKMR1001","Pride Mobility Products Ltd",," £1,655.00",499," £499.00"," £499.00"," £499.00"," £499.00",499,4,10,"19st 9lbs","Red, Blue",4,"Solid",15.2,12,2,44.125,19.5,39.5,,,,"Delta","No","Yes","Yes","Off","Yes",44.6,,"L"," £350.00"," £385.00","Y","N",,,,"Travel Scooter",,
,"Rascal Partner Deluxe","The Rascal Partner Deluxe Pavement Mobility Scooter is an affordable, robust, 

manoeuvrable 4mph mobility scooter for convenient indoor and outdoor use.  The Rascal 

Partner mobility scooter is of fixed frame construction and not designed to be fully 

dismantled for transportation, however it is compact enough to fit into some larger cars, 

people carriers and vans.

The Partner Deluxe boasts a 15 mile travel distance and can carry a maximum user weight 

of 17.5 stone, the comfortable seat has fold up arms to allow you to get on and off your 

Partner Deluxe scooter easier. 

The Rascal Partner Deluxe boasts many features you would expect to see on a far more 

expensive scooter, as standard it has, larger puncture proof 9 inch wheels with non marking 

tyres, a handy under seat shopping basket, adjustable tiller for the perfect position, finger 

control levers. 

All our scooters are supplied with batteries and a charger, and include free courier delivery 

to your door, 12 months parts and labour warranty including home engineer call out, and 3 

months free scooter insurance all for the price you see!","PARTNERD","Electric Mobility Ltd",," £1,595.00",499," £499.00"," £499.00"," £499.00"," £499.00",499,4,16,"17st 11lbs","Red, Blue",4,"Solid","N/A",24,2,71,24,44,,,,"Standard","No","No","No","On","No",47.7,,"L",," £420.00","Y","N",,,,"Travel Scooter",,
